timestamp_s,tag_detected,object_detected,cm_per_px,object_x_px,object_y_px,instant_cm_s,average_cm_s,distance_total_cm,valid,reason
1777380761.170704,False,False,0.00000000,-1,-1,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380761.338665,False,True,0.00000000,358,369,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380761.391944,False,True,0.00000000,358,366,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380761.442631,False,True,0.00000000,364,369,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380761.530461,False,True,0.00000000,358,364,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380761.639613,False,True,0.00000000,362,366,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380761.712477,False,True,0.00000000,365,366,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380761.782741,False,True,0.00000000,365,365,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380761.824584,False,True,0.00000000,363,363,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380761.884547,False,False,0.00000000,-1,-1,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380761.989734,False,False,0.00000000,-1,-1,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380762.065272,False,True,0.00000000,367,355,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380762.156837,False,True,0.00000000,370,343,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380762.253654,False,True,0.00000000,373,341,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380762.345365,False,True,0.00000000,348,276,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380762.442361,False,True,0.00000000,357,282,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380762.530094,False,True,0.00000000,355,271,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380762.578661,False,True,0.00000000,352,284,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380762.628187,False,True,0.00000000,353,280,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380762.671540,False,True,0.00000000,363,280,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380762.743817,False,True,0.00000000,361,284,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777380762.824759,False,True,0.00000000,365,280,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
