timestamp_s,tag_detected,object_detected,cm_per_px,object_x_px,object_y_px,instant_cm_s,average_cm_s,distance_total_cm,valid,reason
1777555667.036892,False,True,0.00000000,902,54,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777555667.193860,False,True,0.00000000,941,45,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777555667.297802,False,True,0.00000000,469,708,0.000000,0.000000,0.000000,False,Sin AprilTag: medicion congelada
1777555667.379775,True,True,0.15193315,929,429,0.000000,0.000000,0.000000,True,Primera muestra
1777555667.486527,True,True,0.15178789,928,429,1.421872,1.421872,0.151788,True,OK
1777555667.565892,True,True,0.15219568,892,46,737.712748,315.392544,58.699668,True,OK
1777555667.681718,True,True,0.15205162,902,45,13.192968,199.467299,60.227768,True,OK
1777555667.781835,True,True,0.15228530,914,28,31.651723,157.679767,63.396619,True,OK
1777555667.865181,True,True,0.15231515,915,19,16.548727,133.446982,64.775892,True,OK
1777555667.946072,True,True,0.15221877,920,14,13.306186,116.285832,65.852241,True,OK
1777555668.031344,True,True,0.15224096,920,13,1.785340,101.300812,66.004482,True,OK
1777555668.104419,True,True,0.15259953,927,11,15.202943,92.618575,67.115423,True,OK
1777555668.199896,True,True,0.15245398,935,11,12.774077,83.323206,68.335055,True,OK
1777555668.290051,True,True,0.15204448,939,15,9.540150,76.015615,69.195149,True,OK
1777555668.362542,True,True,0.15184330,946,18,15.952344,71.585207,70.351553,True,OK
1777555668.473392,True,False,0.15216479,-1,-1,15.952344,71.585207,70.351553,False,Sin objeto: medicion congelada
1777555668.554824,True,True,0.15212059,858,376,291.656339,107.597125,126.431875,True,OK
1777555668.647620,True,True,0.15239601,866,347,49.404696,103.337905,131.016438,True,OK
1777555668.753144,True,True,0.15241700,872,352,11.281031,96.264661,132.206853,True,OK
1777555668.840553,True,True,0.15221720,877,352,8.707155,91.025440,132.967939,True,OK
1777555668.930455,True,True,0.15233266,881,356,9.585152,86.303873,133.829662,True,OK
