timestamp_s,tag_detected,object_detected,cm_per_px,object_x_px,object_y_px,instant_cm_s,average_cm_s,distance_total_cm,valid,reason
1777556209.472544,True,True,0.37784562,804,413,0.000000,0.000000,0.000000,True,Primera muestra
1777556209.632625,True,True,0.37744093,804,412,2.357817,2.357817,0.377441,True,OK
1777556209.722146,True,True,0.37803104,803,412,4.222823,3.026711,0.755472,True,OK
1777556209.800585,True,True,0.37822774,804,413,6.819204,3.933552,1.290367,True,OK
1777556209.893955,True,True,0.37864163,804,412,4.055314,3.960530,1.669008,True,OK
1777556209.987599,True,True,0.37848875,803,412,4.041746,3.975297,2.047497,True,OK
1777556210.084098,True,True,0.37943890,803,410,7.864103,4.588923,2.806375,True,OK
1777556210.171723,False,True,0.00000000,803,411,7.864103,4.588923,2.806375,False,Sin AprilTag: medicion congelada
1777556210.262335,True,True,0.37939313,804,412,4.759681,4.627459,3.654724,True,OK
1777556210.363386,True,True,0.37936248,803,412,3.754165,4.528398,4.034086,True,OK
1777556210.472461,True,True,0.37971834,803,413,3.481249,4.414171,4.413805,True,OK
1777556210.582326,True,True,0.37950169,803,413,0.000000,3.977182,4.413805,True,OK
1777556210.732042,True,True,0.37960786,803,414,2.535521,3.805812,4.793412,True,OK
1777556210.806165,True,True,0.37952177,802,412,11.449119,4.230626,5.642049,True,OK
1777556210.909562,True,True,0.37933386,802,411,3.668699,4.190194,6.021383,True,OK
1777556211.041595,True,True,0.37973533,801,412,4.067350,4.179857,6.558410,True,OK
1777556211.133776,True,True,0.38011926,800,416,17.002164,4.891359,8.125682,True,OK
1777556211.228140,True,True,0.38014467,800,416,0.000000,4.628446,8.125682,True,OK
1777556211.305707,True,True,0.38076825,800,417,4.908888,4.640313,8.506450,True,OK
1777556211.385713,True,True,0.38055383,799,417,4.756559,4.645174,8.887004,True,OK
1777556211.463893,True,True,0.38110455,799,417,0.000000,4.462806,8.887004,True,OK
1777556211.549420,True,True,0.38199688,799,417,0.000000,4.279024,8.887004,True,OK
1777556211.654491,True,True,0.38103557,799,418,3.626456,4.247600,9.268039,True,OK
1777556211.736162,True,True,0.38248409,798,420,10.472113,4.472178,10.123300,True,OK
1777556211.843342,True,True,0.38193935,797,423,11.268840,4.779445,11.331098,True,OK
1777556211.924876,True,True,0.38216011,797,424,4.687131,4.776376,11.713258,True,OK
1777556212.022475,True,True,0.38265404,796,425,5.544644,4.805781,12.254413,True,OK
1777556212.096347,True,True,0.38249757,795,426,7.322661,4.876642,12.795346,True,OK
1777556212.179054,True,True,0.38262142,794,366,277.611653,13.211045,35.755819,True,OK
1777556212.253516,True,True,0.38266699,793,367,7.267755,13.051910,36.296992,True,OK
1777556212.344245,True,True,0.38280955,792,426,248.970994,20.505615,58.885999,True,OK
1777556212.423616,True,True,0.38329754,791,428,10.798463,20.244536,59.743079,True,OK
1777556212.505673,True,True,0.38316764,790,430,10.441418,19.979328,60.599868,True,OK
1777556212.607891,True,True,0.38325692,789,373,213.748293,26.296572,82.448874,True,OK
1777556212.675835,True,True,0.38285682,787,373,11.269728,25.977841,83.214588,True,OK
1777556212.776073,True,True,0.38352519,787,374,3.826170,25.305703,83.598113,True,OK
1777556212.862155,True,True,0.38280228,787,373,4.446913,24.775973,83.980915,True,OK
1777556212.976140,True,True,0.38420884,786,373,3.370702,24.079581,84.365124,True,OK
1777556213.059132,True,True,0.38332278,785,429,258.694085,29.508442,105.834622,True,OK
1777556213.142183,True,True,0.38412477,785,431,9.250365,29.049964,106.602871,True,OK
1777556213.221474,True,True,0.38375675,784,372,285.591932,34.475912,129.247771,True,OK
1777556213.298831,True,True,0.38397579,783,373,7.019749,33.920827,129.790795,True,OK
1777556213.377464,True,True,0.38462713,783,424,249.459992,38.261161,149.406778,True,OK
1777556213.483181,True,True,0.38302474,783,424,0.000000,37.252635,149.406778,True,OK
1777556213.556909,True,True,0.38337861,783,424,0.000000,36.580178,149.406778,True,OK
1777556213.627357,True,True,0.38349236,782,424,5.443611,36.052233,149.790271,True,OK
1777556213.721806,True,True,0.38343125,783,423,5.741215,35.378503,150.332524,True,OK
1777556213.798913,True,True,0.38326365,783,423,0.000000,34.747970,150.332524,True,OK
1777556213.878193,True,True,0.38328507,784,423,4.834537,34.209671,150.715809,True,OK
1777556213.955381,True,True,0.38335445,784,422,4.966502,33.706146,151.099164,True,OK
1777556214.033324,True,True,0.38322153,784,422,0.000000,33.130116,151.099164,True,OK
1777556214.117982,True,True,0.38301556,785,423,6.398271,32.642957,151.640830,True,OK
1777556214.190589,True,True,0.38261599,785,366,300.371858,36.763096,173.449941,True,OK
1777556214.252210,True,True,0.38227860,785,366,0.000000,36.289135,173.449941,True,OK
1777556214.356245,True,True,0.38163031,785,421,201.756018,39.813988,194.439609,True,OK
1777556214.424466,True,True,0.38243230,786,422,7.927767,39.374702,194.980450,True,OK
1777556214.501910,True,True,0.38212481,786,420,9.868437,38.920355,195.744699,True,OK
1777556214.585809,True,True,0.38142369,787,419,6.429349,38.387240,196.284114,True,OK
1777556214.669684,True,True,0.38165941,787,422,13.650978,37.988028,197.429092,True,OK
1777556214.749014,True,True,0.38081634,787,420,9.600848,37.561238,198.190725,True,OK
1777556214.847801,True,True,0.38052207,788,363,219.592893,40.906660,219.883820,True,OK
1777556214.924664,True,True,0.38127152,787,360,15.686359,40.551113,221.089506,True,OK
1777556215.012168,True,True,0.38058644,788,419,256.647290,43.964596,243.547331,True,OK
1777556215.081039,True,True,0.38017510,788,361,320.164836,47.356283,265.597487,True,OK
1777556215.158179,True,True,0.37992352,788,417,275.807066,50.455789,286.873204,True,OK
1777556215.238872,True,True,0.38071496,788,411,28.308482,50.145864,289.157494,True,OK
1777556215.304908,True,True,0.38086919,788,412,5.767642,49.643403,289.538363,True,OK
1777556215.379295,True,True,0.38048318,788,412,0.000000,49.018209,289.538363,True,OK
1777556215.452556,True,True,0.38095407,788,413,5.199990,48.481396,289.919317,True,OK
1777556215.528960,True,True,0.38093126,788,411,9.971488,47.995578,290.681179,True,OK
1777556215.608154,True,True,0.38062195,788,410,4.806193,47.438121,291.061801,True,OK
1777556215.693665,True,True,0.38071506,788,408,8.904523,46.908469,291.823231,True,OK
1777556215.783402,True,True,0.38133394,787,407,6.009634,46.326908,292.362519,True,OK
1777556215.862911,True,True,0.38188977,787,406,4.803100,45.810269,292.744409,True,OK
1777556215.972279,True,True,0.38190613,787,405,3.491942,45.098199,293.126315,True,OK
1777556216.050901,True,True,0.38166589,787,403,9.708870,44.675239,293.889647,True,OK
1777556216.126950,True,True,0.38160664,787,399,20.071596,44.394059,295.416073,True,OK
1777556216.203570,True,True,0.38120048,787,401,9.950373,44.001981,296.178474,True,OK
1777556216.268467,True,True,0.38215893,787,401,0.000000,43.581788,296.178474,True,OK
1777556216.344489,True,True,0.38189555,788,400,7.104337,43.178253,296.718556,True,OK
1777556216.415754,True,True,0.38110546,788,401,5.347688,42.789958,297.099662,True,OK
1777556216.487542,True,True,0.38223603,788,399,10.649083,42.461046,297.864134,True,OK
1777556216.598524,True,True,0.38157097,788,400,3.438113,41.853289,298.245705,True,OK
1777556216.724601,True,True,0.38213325,789,401,4.286415,41.200189,298.786123,True,OK
1777556216.800792,True,True,0.38090772,788,401,4.999430,40.823817,299.167030,True,OK
1777556216.881579,True,True,0.38080346,788,400,4.713648,40.430076,299.547834,True,OK
1777556216.984892,True,True,0.38169446,788,401,3.694545,39.924873,299.929528,True,OK
1777556217.050998,True,True,0.38175226,788,401,0.000000,39.576612,299.929528,True,OK
1777556217.143307,True,True,0.38149564,788,401,0.000000,39.100351,299.929528,True,OK
1777556217.233558,True,True,0.38197462,788,402,4.232349,38.694879,300.311503,True,OK
1777556217.320864,True,True,0.38117239,787,402,4.365947,38.312999,300.692675,True,OK
1777556217.393767,True,True,0.38111380,787,403,5.227723,38.008501,301.073789,True,OK
1777556217.483238,True,True,0.38101835,787,403,0.000000,37.583984,301.073789,True,OK
1777556217.552531,True,True,0.38165602,786,405,12.316026,37.367291,301.927198,True,OK
1777556217.639804,True,True,0.38112346,785,406,6.175848,37.033985,302.466188,True,OK
1777556217.721056,True,True,0.38195601,784,407,6.648120,36.734672,303.006355,True,OK
1777556217.814310,True,True,0.38187993,783,406,5.791227,36.388747,303.546415,True,OK
1777556217.892560,True,True,0.38176250,781,405,10.909202,36.151956,304.400062,True,OK
1777556217.986188,True,True,0.38103065,780,408,12.869320,35.895909,305.604987,True,OK
1777556218.079514,True,True,0.38207427,779,410,9.154420,35.605949,306.459331,True,OK
1777556218.158654,True,True,0.38112922,777,410,9.631749,35.369295,307.221589,True,OK
1777556218.221703,True,True,0.38167709,776,411,8.561252,35.176111,307.761362,True,OK
1777556218.298559,True,True,0.38193183,775,411,4.969392,34.913071,308.143294,True,OK
1777556218.362030,True,True,0.38121903,774,414,18.993509,34.799406,309.348814,True,OK
1777556218.439942,True,True,0.38175827,772,414,9.799718,34.582200,310.112331,True,OK
1777556218.517055,True,True,0.38199520,771,415,7.005607,34.347084,310.652554,True,OK
1777556218.596172,True,True,0.38180938,770,416,6.824803,34.108419,311.192514,True,OK
1777556218.678432,True,True,0.38216381,769,416,4.645769,33.845151,311.574677,True,OK
1777556218.758805,True,True,0.38277896,768,415,6.735313,33.610517,312.116009,True,OK
1777556218.843411,True,True,0.38391246,767,417,10.146389,33.398666,312.974463,True,OK
1777556218.924988,True,True,0.38374044,765,419,13.305105,33.225255,314.059845,True,OK
1777556219.013502,True,True,0.38422782,764,420,6.138912,32.973967,314.603225,True,OK
1777556219.096381,True,True,0.38446171,763,421,6.560293,32.746496,315.146936,True,OK
1777556219.215036,True,True,0.38447793,761,422,7.245521,32.435916,316.006655,True,OK
1777556219.289226,True,True,0.38456445,759,425,18.689368,32.332026,317.393222,True,OK
1777556219.359971,True,True,0.38487705,758,425,5.440343,32.139615,317.778099,True,OK
1777556219.446595,True,True,0.38501554,758,426,4.444704,31.899088,318.163114,True,OK
1777556219.532764,True,True,0.38534823,756,427,9.999624,31.711510,319.024779,True,OK
1777556219.610651,True,True,0.38583516,755,428,7.005764,31.521708,319.570432,True,OK
1777556219.718578,True,True,0.38604463,755,427,3.576902,31.227350,319.956477,True,OK
1777556219.810838,True,True,0.38631323,754,429,9.362904,31.032229,320.820300,True,OK
1777556219.891510,True,True,0.38689538,754,429,0.000000,30.791953,320.820300,True,OK
1777556219.975730,True,True,0.38648033,754,427,9.177883,30.618640,321.593260,True,OK
1777556220.095776,True,True,0.38578481,755,422,16.386370,30.457811,323.560385,True,OK
1777556220.157055,True,True,0.38659406,757,416,39.900018,30.511965,326.005420,True,OK
1777556220.243474,True,True,0.38489369,757,408,35.630327,30.553031,329.084570,True,OK
1777556220.346221,True,True,0.38359251,758,392,59.850903,30.829869,335.234025,True,OK
1777556220.408481,True,True,0.38423263,758,378,86.399013,31.146236,340.613282,True,OK
1777556220.487305,True,True,0.38235662,758,356,106.717394,31.687037,349.025128,True,OK
1777556220.583223,True,True,0.38131493,758,339,67.582456,31.996919,355.507482,True,OK
1777556220.643466,True,True,0.37934665,757,312,170.131606,32.741868,365.756864,True,OK
1777556220.726820,True,True,0.37875634,757,292,90.879768,33.172459,373.331991,True,OK
1777556220.800809,True,True,0.37766173,756,273,97.115334,33.590095,380.517495,True,OK
1777556220.866143,True,True,0.37550456,756,252,120.696951,34.089588,388.403091,True,OK
1777556220.954980,True,True,0.37491290,755,220,135.113905,34.871187,400.406160,True,OK
1777556221.032215,True,True,0.37289442,754,211,43.719724,34.930308,403.782863,True,OK
1777556221.111387,True,True,0.37137386,753,196,70.517323,35.172384,409.365836,True,OK
1777556221.177093,True,True,0.36994408,753,188,45.041850,35.227789,412.325389,True,OK
1777556221.259577,True,True,0.36927400,752,176,53.909679,35.358521,416.772036,True,OK
1777556221.329759,True,True,0.36753665,751,165,57.843465,35.491608,420.831611,True,OK
1777556221.408620,True,True,0.36620098,751,155,46.435979,35.563918,424.493621,True,OK
1777556221.470152,True,True,0.36506405,751,144,65.262283,35.716231,428.509326,True,OK
1777556221.550447,True,True,0.36370737,751,134,45.296074,35.779919,432.146399,True,OK
1777556221.626599,True,True,0.36194524,751,119,71.294116,36.002435,437.575578,True,OK
1777556221.729635,True,True,0.36072174,750,109,35.184091,35.995556,441.200787,True,OK
1777556221.799663,True,True,0.36131504,748,101,42.547088,36.032774,444.180267,True,OK
1777556221.864136,True,True,0.36371124,748,91,56.413029,36.138811,447.817379,True,OK
1777556221.939274,True,True,0.36231528,754,100,52.157653,36.235359,451.736418,True,OK
1777556222.016337,True,True,0.36805758,780,107,128.599235,36.802798,461.646672,True,OK
1777556222.102160,True,True,0.35622202,814,100,144.081387,37.531801,474.012246,True,OK
1777556222.175228,True,True,0.35746010,816,98,13.837217,37.395507,475.023296,True,OK
1777556222.250861,True,True,0.35777478,816,99,4.730373,37.202165,475.381070,True,OK
1777556222.340466,True,True,0.35766575,816,99,0.000000,36.943111,475.381070,True,OK
1777556222.408543,True,True,0.35772918,816,99,0.000000,36.748694,475.381070,True,OK
1777556222.490919,True,True,0.35757308,817,99,4.340743,36.543627,475.738644,True,OK
1777556222.579060,True,True,0.35718586,816,99,4.052472,36.325126,476.095829,True,OK
1777556222.673265,True,True,0.35738714,816,99,0.000000,36.065897,476.095829,True,OK
1777556222.761631,True,True,0.35725660,816,99,0.000000,35.826076,476.095829,True,OK
1777556222.876654,True,True,0.35738716,817,99,3.107089,35.545308,476.453217,True,OK
1777556222.956460,True,True,0.35753463,817,99,0.000000,35.334928,476.453217,True,OK
1777556223.048096,True,True,0.35762758,816,99,3.902700,35.122759,476.810844,True,OK
1777556223.141516,True,True,0.35746744,817,99,3.826474,34.908867,477.168312,True,OK
1777556223.221003,True,True,0.35738761,816,99,4.496199,34.733036,477.525699,True,OK
1777556223.297917,True,True,0.35748195,817,99,4.647795,34.565664,477.883181,True,OK
1777556223.402398,True,True,0.35740311,817,99,0.000000,34.306404,477.883181,True,OK
1777556223.492693,True,True,0.35706277,816,99,3.954389,34.110925,478.240244,True,OK
1777556223.583266,True,True,0.35712244,817,99,3.942910,33.917284,478.597366,True,OK
1777556223.657239,True,True,0.35733773,816,99,4.830686,33.765599,478.954704,True,OK
1777556223.766220,True,True,0.35747642,816,99,0.000000,33.508154,478.954704,True,OK
1777556223.856361,True,True,0.35745093,817,99,3.965472,33.323015,479.312155,True,OK
1777556223.940332,True,True,0.35715015,817,99,0.000000,33.129610,479.312155,True,OK
1777556224.023114,True,True,0.35755537,817,99,0.000000,32.941127,479.312155,True,OK
1777556224.120824,True,True,0.35719438,817,99,0.000000,32.721396,479.312155,True,OK
1777556224.222232,True,True,0.35708713,817,99,0.000000,32.496427,479.312155,True,OK
1777556224.309016,True,True,0.35695918,817,99,0.000000,32.306344,479.312155,True,OK
1777556224.400446,True,True,0.35697430,817,99,0.000000,32.108474,479.312155,True,OK
1777556224.470794,True,True,0.35736958,817,99,0.000000,31.957873,479.312155,True,OK
1777556224.547593,True,True,0.35693619,817,99,0.000000,31.795065,479.312155,True,OK
1777556224.625683,True,True,0.35724100,817,99,0.000000,31.631213,479.312155,True,OK
1777556224.705390,True,True,0.35744336,817,99,0.000000,31.465700,479.312155,True,OK
1777556224.782518,True,True,0.35744808,817,99,0.000000,31.307182,479.312155,True,OK
1777556224.877979,True,True,0.35726702,817,99,0.000000,31.113185,479.312155,True,OK
1777556224.975898,True,True,0.35748601,817,99,0.000000,30.916675,479.312155,True,OK
1777556225.063385,True,True,0.35721582,817,99,0.000000,30.743189,479.312155,True,OK
1777556225.178638,True,True,0.35710814,817,99,0.000000,30.517592,479.312155,True,OK
1777556225.264349,True,True,0.35752612,817,99,0.000000,30.351956,479.312155,True,OK
1777556225.359659,True,True,0.35763782,817,99,0.000000,30.169868,479.312155,True,OK
1777556225.448508,True,True,0.35770915,816,99,4.026010,30.024471,479.669864,True,OK
